Symbol,GPA,Remarks
00100001E,2.55,COMPLETED
00100002F,3.05,COMPLETED
00100003G,2.70,COMPLETED
00100004H,2.65,COMPLETED
00100005I,2.55,COMPLETED
00100006J,2.75,COMPLETED
00100007K,2.55,COMPLETED
00100008L,2.55,COMPLETED
00100009M,2.55,COMPLETED
00100010N,2.55,COMPLETED
00100011O,3.15,COMPLETED
00100012P,2.55,COMPLETED
00100013Q,2.55,COMPLETED
00100014R,2.60,COMPLETED
00100015S,3.15,COMPLETED
00100016T,2.45,COMPLETED
00100017U,2.60,COMPLETED
00100018V,2.60,COMPLETED
00100019W,2.55,COMPLETED
00100020X,2.90,COMPLETED
00100021Y,3.25,COMPLETED
00100022Z,2.65,COMPLETED
00100023A,2.70,COMPLETED
00100024B,2.50,COMPLETED
00100025C,2.65,COMPLETED
00100026D,2.75,COMPLETED
00100027E,2.60,COMPLETED
00100028F,2.65,COMPLETED
00100029G,2.60,COMPLETED
00100030H,2.55,COMPLETED
00100031I,2.50,COMPLETED
00100032J,3.20,COMPLETED
00100033K,3.25,COMPLETED
00100034L,3.25,COMPLETED
00100035M,3.00,COMPLETED
00100036N,2.80,COMPLETED
00100037O,2.80,COMPLETED
00100038P,2.95,COMPLETED
00100039Q,3.05,COMPLETED
00100040R,3.10,COMPLETED
00100041S,2.65,COMPLETED
00100042T,3.25,COMPLETED
00100043U,2.50,COMPLETED
00100044V,2.70,COMPLETED
00100045W,2.65,COMPLETED
00100046X,2.80,COMPLETED
00100047Y,2.80,COMPLETED
00100048Z,2.60,COMPLETED
00100049A,2.60,COMPLETED
00100050B,2.75,COMPLETED
00100051C,3.25,COMPLETED
00100052D,2.75,COMPLETED
00100053E,2.40,COMPLETED
00100054F,2.40,COMPLETED
00100055G,2.60,COMPLETED
00100056H,2.60,COMPLETED
00100057I,2.80,COMPLETED
00100058J,2.65,COMPLETED
00100059K,2.75,COMPLETED
00100060L,2.70,COMPLETED
00100061M,2.45,COMPLETED
00100062N,2.50,COMPLETED
00100063O,2.75,COMPLETED
00100064P,2.75,COMPLETED
00100065Q,3.60,COMPLETED
00100066R,2.85,COMPLETED
00100067S,3.15,COMPLETED
00100068T,2.60,COMPLETED
00100069U,2.95,COMPLETED
00100070V,3.05,COMPLETED
00100071W,2.60,COMPLETED
00100072X,2.75,COMPLETED
00100073Y,3.10,COMPLETED
00100074Z,2.85,COMPLETED
00100075A,2.85,COMPLETED
00100076B,2.70,COMPLETED
00100077C,2.85,COMPLETED
00100078D,3.50,COMPLETED
00100079E,3.30,COMPLETED
00100080F,3.35,COMPLETED
00100081G,2.80,COMPLETED
00100082H,2.50,COMPLETED
00100083I,2.70,COMPLETED
00100084J,2.55,COMPLETED
00100085K,2.65,COMPLETED
00100086L,2.90,COMPLETED
00100087M,3.30,COMPLETED
00100088N,2.60,COMPLETED
00100089O,2.50,COMPLETED
00100090P,2.70,COMPLETED
00100091Q,2.85,COMPLETED
00100092R,2.45,COMPLETED
00100093S,2.75,COMPLETED
00100094T,2.50,COMPLETED
00100095U,2.65,COMPLETED
00100096V,2.80,COMPLETED
00100097W,2.55,COMPLETED
00100098X,3.10,COMPLETED
00100099Y,2.60,COMPLETED
00100100Z,2.50,COMPLETED
00100101A,2.95,COMPLETED
00100102B,2.85,COMPLETED
00100103C,2.90,COMPLETED
00100104D,3.05,COMPLETED
00100105E,2.60,COMPLETED
00100106F,2.65,COMPLETED
00100107G,2.55,COMPLETED
00100108H,2.50,COMPLETED
00100109I,2.90,COMPLETED
00100110J,2.70,COMPLETED
00100111K,3.75,COMPLETED
00100112L,2.50,COMPLETED
00100113M,3.10,COMPLETED
00100114N,2.90,COMPLETED
00100115O,2.50,COMPLETED
00100116P,2.50,COMPLETED
00100117Q,2.95,COMPLETED
00100118R,2.50,COMPLETED
00100119S,2.85,COMPLETED
00100120T,2.35,COMPLETED
00100121U,3.00,COMPLETED
00100122V,3.35,COMPLETED
00100123W,2.25,COMPLETED
00100124X,2.75,COMPLETED
00100125Y,3.40,COMPLETED
00100126Z,2.70,COMPLETED
00100127A,2.30,COMPLETED
00100128B,3.15,COMPLETED
00100129C,2.50,COMPLETED
00100130D,3.00,COMPLETED
00100131E,2.75,COMPLETED
00100132F,2.75,COMPLETED
00100133G,2.20,COMPLETED
00100134H,2.45,COMPLETED
00100135I,3.35,COMPLETED
00100136J,2.70,COMPLETED
00100137K,3.45,COMPLETED
00100138L,2.70,COMPLETED
00100139M,2.55,COMPLETED
00100140N,2.60,COMPLETED
00100141O,2.55,COMPLETED
00100142P,2.55,COMPLETED
00100143Q,2.55,COMPLETED
00100144R,2.70,COMPLETED
00100145S,2.60,COMPLETED
00100146T,2.55,COMPLETED
00100147U,2.60,COMPLETED
00100148V,2.55,COMPLETED
00100149W,2.55,COMPLETED
00100150X,3.40,COMPLETED
00100151Y,2.80,COMPLETED
00100152Z,2.90,COMPLETED
00100153A,2.60,COMPLETED
00100154B,2.70,COMPLETED
00100155C,3.55,COMPLETED
00100156D,2.65,COMPLETED
00100157E,2.45,COMPLETED
00100158F,2.85,COMPLETED
00100159G,3.50,COMPLETED
00100160H,2.65,COMPLETED
00100161I,2.30,COMPLETED
00100162J,2.35,COMPLETED
00100163K,2.90,COMPLETED
00100164L,2.70,COMPLETED
00100165M,2.40,COMPLETED
00100166N,2.80,COMPLETED
00100167O,2.75,COMPLETED
00100168P,2.55,COMPLETED
00100169Q,2.70,COMPLETED
00100170R,2.65,COMPLETED
00100171S,2.80,COMPLETED
00100172T,2.30,COMPLETED
00100173U,2.30,COMPLETED
00100174V,2.90,COMPLETED
00100175W,2.80,COMPLETED
00100176X,2.60,COMPLETED
00100177Y,3.60,COMPLETED
00100178Z,3.10,COMPLETED
00100179A,2.70,COMPLETED
00100180B,3.00,COMPLETED
00100181C,3.20,COMPLETED
00100182D,2.80,COMPLETED
00100183E,2.70,COMPLETED
00100184F,2.80,COMPLETED
00100185G,3.60,COMPLETED
00100186H,2.60,COMPLETED
00100187I,2.80,COMPLETED
00100188J,3.00,COMPLETED
00100189K,2.50,COMPLETED
00100190L,3.20,COMPLETED
00100191M,3.00,COMPLETED
00100192N,3.20,COMPLETED
00100193O,2.60,COMPLETED
00100194P,2.60,COMPLETED
00100195Q,2.80,COMPLETED
00100196R,2.70,COMPLETED
00100197S,3.60,COMPLETED
00100198T,2.60,COMPLETED
00100199U,3.70,COMPLETED
00100200V,2.70,COMPLETED
00100201W,2.75,COMPLETED
00100202X,3.40,COMPLETED
00100203Y,3.65,COMPLETED
00100204Z,3.75,COMPLETED
00100205A,2.70,COMPLETED
00100206B,2.70,COMPLETED
00100207C,2.65,COMPLETED
00100208D,2.70,COMPLETED
00100209E,3.60,COMPLETED
00100210F,4.00,COMPLETED
00100211G,2.90,COMPLETED
00100212H,2.70,COMPLETED
00100213I,2.75,COMPLETED
00100214J,3.00,COMPLETED
00100215K,3.10,COMPLETED
00100216L,3.10,COMPLETED
00100217M,2.75,COMPLETED
00100218N,2.85,COMPLETED
00100219O,3.00,COMPLETED
00100220P,2.70,COMPLETED
00100221Q,2.70,COMPLETED
00100222R,2.90,COMPLETED
00100223S,3.60,COMPLETED
00100224T,2.65,COMPLETED
00100225U,4.00,COMPLETED
00100226V,2.95,COMPLETED
00100227W,2.70,COMPLETED
00100228X,2.75,COMPLETED
00100229Y,2.65,COMPLETED
00100230Z,3.25,COMPLETED
00100231A,3.25,COMPLETED
00100232B,2.70,COMPLETED
00100233C,2.75,COMPLETED
00100234D,3.35,COMPLETED
00100235E,2.65,COMPLETED
00100236F,2.65,COMPLETED
00100237G,3.05,COMPLETED
00100238H,2.65,COMPLETED
00100239I,2.65,COMPLETED
00100240J,3.15,COMPLETED
00100241K,3.30,COMPLETED
00100242L,3.10,COMPLETED
00100243M,2.80,COMPLETED
00100244N,3.65,COMPLETED
00100245O,4.00,COMPLETED
00100246P,3.10,COMPLETED
00100247Q,3.60,COMPLETED
00100248R,2.65,COMPLETED
00100249S,2.65,COMPLETED
00100250T,3.10,COMPLETED
00100251U,2.65,COMPLETED
00100252V,2.90,COMPLETED
00100253W,2.65,COMPLETED
00100254X,3.25,COMPLETED
00100255Y,2.65,COMPLETED
00100256Z,3.85,COMPLETED
00100257A,2.65,COMPLETED
00100258B,3.25,COMPLETED
00100259C,2.65,COMPLETED
00100260D,2.85,COMPLETED
